country,c1,c2,c3,c4,c5,c6
Afghanistan,#000000,#009900,#BF0000,#D2534D,#DB8B70,#F4E5D7
Albania,#E41E20,#020000,#6F0F10,#AF1719,,
Algeria,#FFFFFF,#006233,#D21034,#EC99A8,#902A34,#DD4D68
Andorra,#D0103A,#0018A8,#FDDE00,#BBA373,#D9422D,#DFA41B
Angola,#CE1126,#000000,#F7D416,#97820D,#544807,#E3711E
Antigua and Barbuda,#CE1126,#000000,#0072C6,#FFFFFF,#FBD116,#952D54
Argentina,#74ACDF,#FFFFFF,#D1E3F4,#D7A454,#DBB892,#F3B10E
Armenia,#F2A800,#D90012,#0033A0,#50596B,#482271,
Australia,#00008B,#FEFEFE,#FF0101,#5656B3,#D3D3EB,#27279D
Austria,#ED2939,#FFFFFF,#F9B9BE,,,
Azerbaijan,#00B9E4,#3F9C35,#ED2939,#9E5972,#B44E37,#F36B76
the Bahamas,#00ABC9,#000000,#FAE042,#A8CE6E,#A9972D,#62581A
Bahrain,#CE1126,#FFFFFF,#E78893,#F5CDD2,#DB5060,
Bangladesh,#006A4E,#F42A41,#6C4E48,#A24045,,
Barbados,#00267F,#FFC726,#010100,#6A5310,,
Belarus,#C8313E,#4AA657,#FEFAFA,#E9ADB2,#D35B65,#9E5846
Belgium,#000000,#ED2939,#FAE042,,,
Belize,#003F87,#CE1126,#D5DBD6,#2A9104,#63A55C,#D0AF4C
Benin,#008751,#FCD116,#E8112D,,,
Bhutan,#FFD520,#FF4E12,#F3F3F3,#D4B8AD,#E6734C,#E5CC5D
Bolivia,#D52B1E,#007934,#FFE000,#F0A40A,#ABBE11,#A46021
Bosnia and Herzegovina,#002395,#FECB00,#FDFDFE,#97A6D4,#7F774A,#6177BD
Botswana,#75AADB,#000000,#FFFFFF,#AAAAAA,#BAD5ED,
Brazil,#009B3A,#FDDF00,#012876,#61B125,#304F90,#6FC790
Brunei,#F7E017,#FFFFFF,#010000,#CF1226,#E2751F,#DE5A68
Bulgaria,#FFFFFF,#D62612,#00966E,#47714F,#54B99E,
Burkina Faso,#009E49,#EF2B2D,#FCD116,#F89B1D,#8EBB2C,
Burundi,#1EB53A,#FFFFFF,#CE1126,#D8EEDA,#5CC870,#DD5867
Cambodia,#032EA1,#E00025,#A49FA0,#767273,#A05964,#752A37
Cameroon,#FCD116,#007A5E,#CE1126,#E6761E,,
Canada,#FF0000,#FFFFFF,#FFD0D0,#FF9191,#FF2C2C,#FF5050
Cape Verde,#003893,#FFFFFF,#CF2027,#DF696E,#F5D017,#B5A838
Central African Republic,#FFCE00,#FFFFFF,#289728,#003082,#D21034,#CDAF1A
Chad,#FECB00,#002664,#C60C30,,,
Chile,#D52B1E,#FFFFFF,#0039A6,#3663B9,#A3B8DF,#6A8CCB
China,#DE2910,#FFDC00,#EB6F0A,,,
Colombia,#FCD116,#003893,#CE1126,,,
Comoros,#3A75C4,#FFC61E,#3D8E33,#FFFFFF,#CE1126,#709D2E
Democratic Republic of the Congo,#007FFF,#CE1021,#F7D518,#539CB2,#E16C1D,#B1BD59
Congo,#009543,#DC241F,#FBDE4A,#EC8134,#7DBA47,
Costa Rica,#002B7F,#FFFFFF,#CE1126,#5572AA,#DE5F6D,
Croatia,#FF0000,#171796,#FFFFFF,#FD7071,#B3B3DC,#9C2639
Cuba,#002A8F,#FFFFFF,#CF142B,#302578,#E16B79,#DA495B
Cyprus,#FFFFFF,#D47600,#F0E6D6,#475429,#E4A85D,#DC8E2D
Czech Republic,#FFFFFF,#D7141A,#11457E,#B0C1D4,#6083A9,#95243B
Denmark,#C60C30,#FFFFFF,#D8576F,,,
Djibouti,#6AB2E7,#12AD2B,#FFFFFF,#D7141A,#E45F63,#5DC76E
Dominica,#000000,#D31C30,#FCD116,#D4AD13,#80B59F,#7E9E2A
Dominican Republic,#CE1126,#002D62,#FFFFFF,#358F49,#9E2228,#0D7720
Timor-Leste,#DC241F,#000000,#FFC726,#5D490E,#A17E18,#D2A41F
Ecuador,#FFDD00,#ED1C24,#034EA2,#483220,#42AAC9,#4D9332
Egypt,#000000,#CE1126,#FFFFFF,#E4D091,#EFB0B7,#C29608
El Salvador,#0F47AF,#FFFFFF,#B0C2E5,#C1B11D,#258795,#E27C77
Equatorial Guinea,#3E9A00,#E32118,#FFFFFF,#0073CE,#D2D2D1,#3893BA
Eritrea,#EA0437,#12AD2B,#4189DD,#F25130,#F9902B,#A63979
Estonia,#FFFFFF,#4891D9,#000000,#545454,#183048,
Ethiopia,#078930,#DA121A,#FBDD09,#0F47AF,#D7C623,#A12144
Fiji,#68BFE5,#CF1129,#FEFEFE,#DFD1D5,#4E6D94,#B4962A
Finland,#FFFFFF,#003580,#5C7EAE,#8DA5C6,,
France,#FFFFFF,#002395,#ED2939,,,
Gabon,#009E60,#3A75C4,#FCD116,#BCB350,#A8C02F,
the Gambia,#CE1126,#3A7728,#0C1C8C,#FFFFFF,#BDD2B7,#D0C2D7
Georgia,#FFFFFF,#FF0000,#FF8E8E,#FF2E2E,#FFD4D4,
Germany,#FFCE00,#000000,#DD0000,#E84500,#930000,
Ghana,#006B3F,#CE1126,#FCD116,#ED911C,#A9AF24,#8C750C
Greece,#0D5EAF,#FFFFFF,#79A6D3,#AEC9E4,#4382C1,
Grenada,#CE1126,#FCD116,#007A5E,#DD6221,#78A43C,#992C34
Guatemala,#4997D0,#FFFFFF,#C3DDF0,#EAD98C,#6B5032,#C8AD4E
Guinea,#009460,#CE1126,#FCD116,,,
Guinea-Bissau,#009E49,#FCD116,#CE1126,#764D35,#E2631F,#50070F
Guyana,#009E49,#CE1126,#FCD116,#FEFEFD,#46B97B,#6B5E24
Haiti,#00209F,#D21034,#1D6D1F,#A56A25,#BD9B3F,#D0504D
Honduras,#0073CF,#FFFFFF,#AAD0EF,#55A2DF,,
Hungary,#436F4D,#CD2A3E,#FFFFFF,#C1D0C4,#EEB8BF,
Iceland,#003897,#D72828,#FFFFFF,#EA8C8C,#E05757,#4971B5
India,#FF9933,#128807,#FFFFFF,#B0C07F,#07078B,#3A3AA3
Indonesia,#FFFFFF,#CE1126,,,,
Iran,#FFFFFF,#DA0101,#239F40,#B0DDBA,#E96A6A,#8ACC99
Iraq,#000000,#DCEDE5,#14844C,#E9949D,#459E71,#84BFA1
Ireland,#FF883E,#FFFFFF,#169B62,#7AC5A5,,
Israel,#FFFFFF,#0038B8,#5F82D2,#D8E1F4,#88A2DE,
Italy,#FFFFFF,#009246,#CE2B37,,,
Ivory Coast,#FFFFFF,#F77F00,#009E60,,,
Jamaica,#000000,#009B3A,#FED100,#8B7300,#8AB91A,
Japan,#FFFFFF,#BC002D,#D14F6E,#EDBBC7,#DF869B,
Jordan,#007A3D,#000000,#CE1126,#FFFFFF,#D84857,#972D2C
Kazakhstan,#00AFCA,#FAC50F,#97BC59,#2BB3AA,,
Kenya,#000000,#BB0000,#006600,#FFFFFF,#D56262,#E6A6A6
Kiribati,#CE1126,#FFFEFF,#FACF15,#D0DCE9,#3768A1,#8FABCA
North Korea,#ED1C27,#024FA2,#FFFEFE,#F5868C,#568AC1,#F14C55
South Korea,#FFFFFF,#013478,#C60C30,#030303,#EED6DE,#303030
Kuwait,#007A3D,#CE1126,#FFFFFF,#000000,#EA9AA3,#890B19
Kyrgyzstan,#E8112D,#FFED00,#F58E14,#F05A1E,,
Laos,#CE1126,#002868,#FEFFFF,#879AB8,#375788,#ABB8CD
Latvia,#9E3039,#FFFFFF,,,,
Lebanon,#ED1C24,#FFFFFF,#01A652,#8ED8B2,#42BD7E,#D7F1E4
Lesotho,#FFFFFF,#00209F,#009543,#020202,#2E2E2E,#4E4E4E
Liberia,#BF0A30,#FFFFFF,#002868,#EAADBA,#D96C83,#CA3453
Libya,#000000,#E70013,#239E46,#727272,#313131,#505050
Liechtenstein,#CE1126,#002B7F,#BEA12E,#F9D33C,#826E1F,#524615
Lithuania,#FDB913,#C1272D,#006A44,#40543D,#548533,
Luxembourg,#00A1DE,#ED2939,#FFFFFF,#F9B8BD,#AAE0F4,
Macedonia,#D20000,#FFE600,#DC3400,#F4AE00,#E86F00,
Madagascar,#FFFFFF,#007E3A,#FC3D32,,,
Malawi,#CE1126,#339E35,#000000,#550710,#6D3C23,#8F0C1A
Malaysia,#CC0001,#FFFFFF,#010066,#E26E6F,#F1B7B7,#D4A911
Maldives,#D21034,#007E3A,#C9E4D5,#6FB690,#379A64,#29935A
Mali,#14B53A,#CE1126,#FCD116,,,
Malta,#CF142B,#FFFFFF,#A9A29C,#F6A9B5,#D36773,#6F6E6E
Marshall Islands,#003893,#FEFEFE,#DD7500,#CCD7E9,#2958A4,#90A8D0
Mauritania,#006233,#FFC400,#477D25,#B4A70F,,
Mauritius,#FFD500,#00A551,#EA2839,#1A206D,,
Mexico,#006847,#CE1126,#FFFFFF,#EFB1B7,#593520,#925A2F
FS Micronesia,#75B2DD,#FDFEFE,#D2E6F4,,,
Moldova,#CC092F,#0046AE,#FFD200,#352815,#AD7D54,#674F21
Monaco,#FFFFFF,#CE1126,,,,
Mongolia,#C4272F,#015197,#F9CF02,#833551,#E69511,#D66120
Montenegro,#C40308,#D3AD3B,#C4722A,#1D5E91,#6E8B3E,#626765
Morocco,#C1272D,#016233,#684230,,,
Mozambique,#FCE100,#007168,#000000,#D21034,#D05B28,#B1A33E
Myanmar,#FECB00,#EA2839,#34B233,#FEFFFE,#77BA22,#708435
Namibia,#009543,#003580,#D21034,#FEFDFD,#FECD01,#E05D75
Nauru,#002B7F,#FFC61E,#334A6C,#FEFEFE,#738AB9,#9AABCC
Nepal,#003A96,#DC143C,#FFFEFE,#EA728A,#F099AA,#63286C
Kingdom of the Netherlands,#AE1C28,#21468B,#FFFFFF,#E4B3B7,#B6C2D9,
New Zealand,#00247D,#CC142B,#FEFDFE,#546CA8,#DDD9E6,#2E4B95
Nicaragua,#0067C6,#FFFFFF,#ABCDEC,#98C826,#D0DB25,#CF2425
Niger,#E05206,#0DB02B,#FFFFFF,#F5C5AC,#AFE5B9,#EEA279
Nigeria,#008751,#FFFFFF,#5AB18E,,,
Norway,#EF2B2D,#002868,#FFFFFF,#F68E8F,#BBC6D7,#637CA3
Oman,#DB161B,#FFFFFF,#008000,#E76669,#923A12,#F3B0B2
Pakistan,#01411C,#FFFFFF,#82A18F,#DDE6E1,#47755A,#235A3A
Palau,#4AADD6,#FFDE00,#D4D233,#74B9A5,#9AC377,
State of Palestine,#007A3D,#000000,#FFFFFF,#CE1126,#D63849,#E16C79
Panama,#FFFFFF,#005293,#D21034,#EA90A1,#5088B5,#DF536D
Papua New Guinea,#000000,#CE1126,#FCD016,#EC8F1B,#DC4D21,#6E0914
Paraguay,#0038A8,#D52B1E,#FFFFFF,#ABBDE2,#F1B8B4,#309556
Peru,#D91023,#FFFFFF,,,,
Philippines,#CE1126,#0038A8,#FFFFFE,#FCD116,#FEEFAD,#698ACC
Poland,#FFFFFF,#DC143C,,,,
Portugal,#FF0000,#006600,#959E01,#FDFDFE,#2F59AC,#BA5F41
Qatar,#8D1B3D,#FFFFFF,#B2657D,#E5CAD2,,
Romania,#002B7F,#CE1126,#FCD116,,,
Russia,#FFFFFF,#D52B1E,#0039A6,#463479,#547AC3,
Rwanda,#00A1DE,#FAD201,#20603D,#81B162,#40A9A0,#C2BA22
Saint Kitts and Nevis,#000000,#CE1126,#009E49,#FBD116,#292929,#474747
Saint Lucia,#66CCFF,#FCD116,#FDFEFE,#665509,#AD900F,#FDDD56
Saint Vincent and the Grenadines,#FCD116,#009E60,#0072C6,#7EB83B,#7EA16E,
Samoa,#CE1126,#002B7F,#FBFCFD,#2F5297,#6D86B6,#BAC6DC
San Marino,#FFFFFF,#5EB6E4,#86681D,#364B36,#D7A42E,#9CCBE7
São Tomé and Príncipe,#12AD2B,#FFCE00,#D21034,#78BB18,#725E2F,#E86F1A
Saudi Arabia,#006C35,#FBFDFC,#8BBCA3,#4C9872,#B7D5C6,
Senegal,#00853F,#E31B23,#FDEF42,#71B540,#ABCD41,
Serbia,#C6363C,#0C4076,#CF9E2E,#B06232,#CFA6A5,#5C7FA3
Seychelles,#D62828,#003F87,#007A3D,#FCD856,#FFFEFE,#3B996A
Sierra Leone,#0072C6,#1EB53A,#FFFFFF,#B4E6BD,#ABD1EC,
Singapore,#FFFFFF,#ED2939,#F58C94,#FBCCD0,,
Slovakia,#EE1C25,#FFFFFF,#0B4EA2,#5C89C1,#F24C53,#9B2E53
Slovenia,#ED1C24,#005DA4,#FFFFFF,#5593C2,#4E477A,#B7B92E
Solomon Islands,#215B33,#0051BA,#FCD116,#FDFEFE,#C3B21D,#2F71C7
Somalia,#4189DD,#FEFFFF,#9AC0ED,,,
South Africa,#007A4D,#002395,#DE3831,#FEFEFE,#000000,#FDB512
South Sudan,#078930,#000000,#0F47AF,#DA121A,#FFFFFF,#FBDC0A
Spain,#C60B1E,#FFC400,#975C11,#9E2918,#B08F07,#CEB56B
Sri Lanka,#FEB700,#8D2029,#005641,#552D0A,#B88301,#B3511B
Sudan,#000000,#D21034,#FFFFFF,#007229,#2A894C,#7E382F
Suriname,#377E3F,#B40A2D,#FFFFFF,#ECC81D,#C33B29,#D16E25
Swaziland,#3E5EB9,#B10C0C,#FED800,#FEFEFE,#020202,#5E5C61
Sweden,#006AA7,#FECC00,,,,
Switzerland,#FF0000,#FFFFFF,#FF6060,#FF9C9C,,
Syria,#000000,#CE1126,#FFFFFF,#EFB0B7,#309361,#70B492
Tajikistan,#FFFFFF,#006600,#CC0000,#F8C405,#6EA86E,#E26D6D
Tanzania,#000000,#1EB53A,#00A3DD,#FBD016,#BEC548,#93C327
Thailand,#FFFFFF,#241D4F,#ED1C24,#6D688A,#F3686D,
Togo,#006A4E,#FFCE00,#D21034,#FFFDFD,#F2BAC4,#E2647B
Tonga,#C10000,#FFFFFF,#D65555,#EFBFBF,#E49090,
Trinidad and Tobago,#CE1126,#000000,#FEFDFE,#DF6371,#E78893,#EEADB4
Tunisia,#E70013,#FFFEFE,#F16C77,#F7ADB4,#EC3847,
Turkey,#E30A17,#FFFEFE,#F9CDD0,#EF7279,#EA4953,
Turkmenistan,#28AE66,#C93745,#B47134,#60654E,#65BE8E,#AE915A
Tuvalu,#5B97B1,#CF142B,#FEFEFE,#00247D,#FCCD03,#B2B452
Uganda,#FCDC04,#000000,#D90000,#FEFDFD,#544901,#C4A636
Ukraine,#FFD500,#005BBB,,,,
United Arab Emirates,#FF0000,#FFFFFF,#000000,#00732F,#929292,
United Kingdom,#CF142B,#FFFFFF,#F3C4CA,#AAB6D4,#DB4F60,#6E82B5
United States,#B22234,#FEFEFE,#3C3B6E,#CA6673,#EDCDD1,#DC9AA2
Uruguay,#FFFFFF,#9E830E,#C6D3EC,#8DA6D8,#F8CE16,#547AC5
Uzbekistan,#FFFFFF,#1EB53A,#0099B5,#CE1126,#4EB8CC,#89D0DD
Vanuatu,#009543,#D21034,#010100,#FCCE12,#A6870B,#7A6308
Vatican City,#FFE000,#FFFFFF,#D1D0CE,#AA9A68,#B2890F,#9C2C20
Venezuela,#FFCC00,#CF142B,#00247D,#555C53,#441F62,#2E4B94
Vietnam,#DA251D,#FFFE00,#E67013,,,
Yemen,#000000,#CE1126,#FFFFFF,#ABABAB,#EFB0B7,
Zambia,#198A00,#EF7D00,#DE2010,#000000,#904F05,#4C6C02
Zimbabwe,#319208,#DE2010,#FFFFFF,#000000,#C5C002,#F18507
Abkhazia,#00993E,#FFFFFF,#C8312A,#B7E2C9,#92D3AD,#D5635E
Cook Islands,#00247D,#FDFDFE,#CF142B,#546CA7,#304D96,#DC5364
Kosovo,#244AA5,#D0A650,#FBFCFE,#A7B7DB,#748CC6,#A79064
Nagorno-Karabakh Republic,#F2A800,#D90012,#0033A0,#FFFFFF,#482271,#E13947
Niue,#FCD116,#FEFEFE,#CF142B,#002868,#506B97,#D95F25
Northern Cyprus,#FFFFFF,#E30A17,#EA4B55,#F6AEB2,,
Sahrawi Arab Democratic Republic,#000000,#007A3D,#FFFFFF,#C4111B,#CE3A42,#DA6B71
Somaliland,#020202,#006D21,#9B9F9C,#2C2C2C,#6D6D6D,
South Ossetia,#FFFFFF,#FFDF00,#FF0000,#FF5454,#FF8238,
Taiwan,#FE0000,#000095,#FEFEFE,#6666BF,#CECEEB,#ABABDC
Transnistria,#DE0000,#009933,#6F4D1A,#FED200,#F48E00,
Europe,#003399,#FFCC00,,,,
Hong Kong,#DE2408,#FFFFFF,,,,
OECD Members,#96BA13,#086199,#AFCDDB,#6F7173,,
Europe,#003399,#FFCC00,,,,
Hong Kong,#DE2408,#FFFFFF,,,,
OECD Members,#96BA13,#086199,#AFCDDB,#6F7173,,